epoch,训练损失_总,验证损失,数据损失,物理损失
1,0.009238147388541866,0.00013766684108842964,0.009238147388541866,0.0
2,0.0009750293362845857,0.001752259035748806,0.0009750293362845857,0.0
3,0.0005200815932362204,0.001738744687295467,0.0005200815932362204,0.0
4,0.00035309760239919896,0.0028022225608512986,0.00035309760239919896,0.0
5,0.0002944259553086199,0.00394764384365349,0.0002944259553086199,0.0
6,0.00025922499383090945,0.0030104229546932862,0.00025922499383090945,0.0
7,0.00026889890965858815,0.003005908539048349,0.00026889890965858815,0.0
8,0.00023529355918816536,0.003042296057209523,0.00023529355918816536,0.0
9,0.00022012145422397716,0.0022533672894492294,0.00022012145422397716,0.0
10,0.00022039614983511486,0.0022640643079548774,0.00022039614983511486,0.0
11,1.2352055528024464,0.0030718542418132224,0.0018026651749397347,5.926475575323962
12,-2.07190362390625,0.0018409364483874253,0.0020772141544198146,0.9640900442076478
13,-2.844004619691239,0.002902961168475825,0.0008107445970178979,0.8995669512197737
14,-3.5100780961857034,0.005760628225526424,0.00041006160262286576,0.6890750872595675
15,-3.8110160524936956,0.0064738545817407695,0.0003089169564274287,0.6077732808579732
16,-3.558748512567365,0.0030894609040702987,0.0003965541625896285,0.7983383597558983
17,-3.9237957361251246,0.00576327341636925,0.0003027054756677533,0.6358265724994997
18,-4.16352706254804,0.005502372421662916,0.0002628054183601573,0.5600182943992029
19,-4.3006063514361195,0.00484342120204008,0.00023706085387814642,0.5611157664516343
20,-4.462928956313412,0.006885021330845176,0.00020654847161723474,0.5395191002281093
21,-4.37755764057905,0.007200651355275903,0.0002216264456598561,0.7386339223822751
22,-4.294528138790593,0.0073195174728905915,0.00022559501948555833,0.8419463106732651
23,-4.713772771361891,0.007784103265239132,0.00021285032570749366,0.5098533911760711
24,-5.321683629263145,0.006335485495852702,0.00014156740033703812,0.30706487323945325
25,-5.397632745125154,0.007164353293244436,0.0001391684207493159,0.2994321390678216
26,-5.441367526197229,0.007027174419074348,0.0001203411461736611,0.3375545590265671
27,-5.490102506058022,0.006841138818461184,0.00011990611154048673,0.33960178914810724
28,-5.658276310320757,0.006811590546704453,0.0001115090720209867,0.29502430040596556
29,-5.769171667167021,0.007521372913147765,9.760919076893093e-05,0.29971504420408723
30,-5.70644738228617,0.006400740966878154,0.00012043178815418886,0.30135891407186144
31,-5.822577587378008,0.007151066390477648,0.00010821904220100833,0.2923650288763064
32,-5.870694267256624,0.006723398471194686,0.00010275849653383021,0.3102488369666327
33,-6.017074525781433,0.006075327197108606,9.585107582564481e-05,0.2751322953487493
34,-5.997153777368739,0.005637957667536808,0.00010716224545709252,0.2823793048865445
35,-6.271354907249418,0.006241059734815299,8.036596110584174e-05,0.2391613805905707
36,-6.304497669834894,0.006695639872641274,8.101638377411291e-05,0.23584779093012787
37,-6.373693202259537,0.006455679869034676,7.53527801524889e-05,0.23400804647888865
38,-6.392887042014303,0.006714514781956119,7.361969012328983e-05,0.2426786084032316
39,-6.442025247211974,0.006554867059142903,7.267289124430886e-05,0.23497922813251465
40,-6.440266833665878,0.005366198195502011,7.38862881748492e-05,0.24225772369504187
41,-6.462531519684404,0.005334939665640846,7.40329561707399e-05,0.24133051114459755
42,-6.53724640344247,0.005295635616387984,6.966825960583974e-05,0.2327865694626932
