epoch,sigma_data,sigma_core,sigma_surf,weight_data,weight_core,weight_surf
1,1.0,1.0,1.0,0.4999999975,0.4999999975,0.4999999975
2,1.0,1.0,1.0,0.4999999975,0.4999999975,0.4999999975
3,1.0,1.0,1.0,0.4999999975,0.4999999975,0.4999999975
4,1.0,1.0,1.0,0.4999999975,0.4999999975,0.4999999975
5,1.0,1.0,1.0,0.4999999975,0.4999999975,0.4999999975
6,1.0,1.0,1.0,0.4999999975,0.4999999975,0.4999999975
7,1.0,1.0,1.0,0.4999999975,0.4999999975,0.4999999975
8,1.0,1.0,1.0,0.4999999975,0.4999999975,0.4999999975
9,1.0,1.0,1.0,0.4999999975,0.4999999975,0.4999999975
10,1.0,1.0,1.0,0.4999999975,0.4999999975,0.4999999975
11,1.0,1.0,1.0,0.4999999975,0.4999999975,0.4999999975
12,1.0,1.0,1.0,0.4999999975,0.4999999975,0.4999999975
13,1.0,1.0,1.0,0.4999999975,0.4999999975,0.4999999975
14,1.0,1.0,1.0,0.4999999975,0.4999999975,0.4999999975
15,1.0,1.0,1.0,0.4999999975,0.4999999975,0.4999999975
16,0.5968769788742065,0.722629964351654,0.6925023198127747,1.403460973850711,0.9574984251300095,1.0426235606221501
17,0.3657711148262024,0.6777814626693726,0.6404637098312378,3.7372416146901792,1.088405245580283,1.2189361181505898
18,0.2215261608362198,0.6844963431358337,0.6154977679252625,10.188726819020422,1.0671555690132575,1.3198270771440843
19,0.1446247696876526,0.6780354976654053,0.5974261164665222,23.90476836674968,1.087589827436842,1.400882114480092
20,0.0952238067984581,0.6787317991256714,0.5807168483734131,55.14151397215465,1.0853594856995983,1.4826585454972323
21,0.06743460893630981,0.692768394947052,0.5708519220352173,109.95217892472357,1.0418228228035955,1.5343451411772153
22,0.04644946753978729,0.6762630939483643,0.5542623996734619,231.74347663034143,1.0932981806363964,1.6275680725272255
23,0.03172864392399788,0.6719905734062195,0.5336487889289856,496.6664516328693,1.1072447704704016,1.7557348934103887
24,0.02340334840118885,0.6776239275932312,0.5209407806396484,912.8723310403253,1.0889113727262205,1.842439701324831
25,0.019285133108496666,0.6775984168052673,0.5002235770225525,1344.3702220481607,1.0889933667482632,1.9982125428566293
26,0.015543517656624317,0.6671780347824097,0.47347670793533325,2069.4855334975546,1.1232761037084267,2.230348641655132
27,0.013787909410893917,0.6780169606208801,0.45709118247032166,2630.0362798906276,1.087649297856037,2.3931190656070114
28,0.012962038628757,0.6789025664329529,0.42435309290885925,2975.846032403089,1.0848135440173066,2.77661233391142
29,0.01180512085556984,0.6786258816719055,0.40305206179618835,3587.6787466765186,1.085698310039063,3.0778517449482568
30,0.012287728488445282,0.6695773005485535,0.37955260276794434,3311.405835140811,1.1152405583987988,3.4707716501381065
31,0.011064853519201279,0.6667916774749756,0.36348679661750793,4083.7667661871424,1.1245781945183957,3.7843623035170526
32,0.010540948249399662,0.6620389223098755,0.34875187277793884,4499.778116081956,1.140782770446624,4.110899784053274
33,0.010272222571074963,0.6619842052459717,0.331988662481308,4738.278507173879,1.1409713636555074,4.5365267838023495
34,0.010139803402125835,0.6689891219139099,0.3188955783843994,4862.8381532389585,1.1172024707889594,4.916691823842987
35,0.009620427154004574,0.6699825525283813,0.30033478140830994,5402.040452477694,1.1138918165513538,5.543176661324129
36,0.009706498123705387,0.6703241467475891,0.28582242131233215,5306.66664989088,1.112756837145749,6.1203659424077825
37,0.009501547552645206,0.6635479927062988,0.26942527294158936,5538.054939194144,1.1355998328850183,6.888002743695534
38,0.009498970583081245,0.6716002821922302,0.25458166003227234,5541.060010921075,1.1085320643584746,7.714641386280161
39,0.009336806833744049,0.6665212512016296,0.24031944572925568,5735.197104805452,1.1254909251487508,8.657492807016446
40,0.009172976016998291,0.66698157787323,0.23008383810520172,5941.877339591146,1.123937914636577,9.444908100516226
41,0.009012801572680473,0.6738526225090027,0.2146117091178894,6154.937589914071,1.101133952041568,10.855832426416033
42,0.008755732327699661,0.6632884740829468,0.20730063319206238,6521.638589934436,1.1364886375832497,11.635061857422595
43,0.008724570274353027,0.6573306322097778,0.20037879049777985,6568.306153099152,1.1571835646009843,12.45278381277689
44,0.008631055243313313,0.662862241268158,0.19537560641765594,6711.399070947264,1.137950674360223,13.098732387511333
45,0.008500850759446621,0.6658880710601807,0.18922486901283264,6918.551416536475,1.1276323580509013,13.964118227960311
46,0.008492067456245422,0.6638708114624023,0.18261156976222992,6932.869471797927,1.1344956909830197,14.993856831970099
47,0.008539584465324879,0.6549105644226074,0.17705973982810974,6855.935945348264,1.1657515646102723,15.948883716430496
48,0.008482030592858791,0.6627898812294006,0.1733962595462799,6949.285492555513,1.138199159290802,16.62993235197034
49,0.00838477537035942,0.6626750230789185,0.1692655086517334,7111.418778381561,1.13859375022539,17.451509068154962
