epoch,Cc_JK,Cs_JK,Rc_KW,Rs_KW
1,87.69999694824219,4.1656413078308105,2.588134765625,8.470210075378418
2,87.69999694824219,4.1656413078308105,2.588134765625,8.470210075378418
3,87.69999694824219,4.1656413078308105,2.588134765625,8.470210075378418
4,87.69999694824219,4.1656413078308105,2.588134765625,8.470210075378418
5,87.69999694824219,4.1656413078308105,2.588134765625,8.470210075378418
6,87.69999694824219,4.1656413078308105,2.588134765625,8.470210075378418
7,87.69999694824219,4.1656413078308105,2.588134765625,8.470210075378418
8,87.69999694824219,4.1656413078308105,2.588134765625,8.470210075378418
9,87.69999694824219,4.1656413078308105,2.588134765625,8.470210075378418
10,87.69999694824219,4.1656413078308105,2.588134765625,8.470210075378418
11,87.69999694824219,4.1656413078308105,2.588134765625,8.470210075378418
12,87.69999694824219,4.1656413078308105,2.588134765625,8.470210075378418
13,87.69999694824219,4.1656413078308105,2.588134765625,8.470210075378418
14,87.69999694824219,4.1656413078308105,2.588134765625,8.470210075378418
15,87.69999694824219,4.1656413078308105,2.588134765625,8.470210075378418
16,87.66522216796875,4.129856109619141,2.554076910018921,8.507115364074707
17,87.6302719116211,4.092929363250732,2.5188710689544678,8.54494857788086
18,87.59634399414062,4.057941913604736,2.4853675365448,8.580574989318848
19,87.57026672363281,4.030881881713867,2.4589719772338867,8.608558654785156
20,87.54381561279297,4.003774166107178,2.4322092533111572,8.636787414550781
21,87.52198028564453,3.981321334838867,2.409895420074463,8.660252571105957
22,87.4950180053711,3.95293927192688,2.3813843727111816,8.68993854522705
23,87.4669418334961,3.9236671924591064,2.351677894592285,8.720629692077637
24,87.43986511230469,3.894666910171509,2.32200026512146,8.751118659973145
25,87.41312408447266,3.865771532058716,2.2923593521118164,8.78140640258789
26,87.38362884521484,3.833449602127075,2.2590670585632324,8.815237998962402
27,87.35201263427734,3.798381805419922,2.222867965698242,8.851930618286133
28,87.32132720947266,3.7634105682373047,2.1867287158966064,8.88853931427002
29,87.28923797607422,3.7256760597229004,2.1480441093444824,8.927756309509277
30,87.25955200195312,3.689565896987915,2.111215829849243,8.9651517868042
31,87.23908996582031,3.665236234664917,2.087031126022339,8.990221977233887
32,87.21691131591797,3.63955020904541,2.062269687652588,9.016499519348145
33,87.19698333740234,3.616572380065918,2.040464401245117,9.039956092834473
34,87.17713928222656,3.5940933227539062,2.0192453861236572,9.062990188598633
35,87.15572357177734,3.5696794986724854,1.996526837348938,9.087862014770508
36,87.13482666015625,3.5455851554870605,1.974393367767334,9.112282752990723
37,87.11455535888672,3.5225281715393066,1.9532569646835327,9.135724067687988
38,87.09388732910156,3.49894118309021,1.9318217039108276,9.159618377685547
39,87.07384490966797,3.4761500358581543,1.911148190498352,9.182785987854004
40,87.05393981933594,3.4532783031463623,1.8907177448272705,9.205784797668457
41,87.0338363647461,3.4305267333984375,1.870457410812378,9.228743553161621
42,87.02157592773438,3.4170615673065186,1.8585243225097656,9.242424011230469
43,87.01029205322266,3.4051175117492676,1.8479831218719482,9.254623413085938
44,86.99851989746094,3.393073081970215,1.8374109268188477,9.266952514648438
45,86.98770141601562,3.3820810317993164,1.827776312828064,9.278253555297852
46,86.97667694091797,3.371005058288574,1.8181734085083008,9.289582252502441
47,86.96641540527344,3.3607165813446045,1.8092961311340332,9.300118446350098
48,86.95685577392578,3.3514249324798584,1.8013403415679932,9.309633255004883
49,86.94541931152344,3.3403892517089844,1.791933298110962,9.320945739746094
